Part,BaseValue,TotalAddedValue,CompleteValue
JACK ANY,5.425424354243543,2592.9908333333333,2598.416257687577
JACK HANDLE,1.1934722222222223,638.1791666666666,639.3726388888888
BACK GLASS,26.464193548387097,2613.6900000000005,2640.1541935483874
CONVERTIBLE TOP,36.10111111111111,239.94,276.0411111111111
HEATER BLOWER MOTOR,14.534573643410853,3993.7250000000004,4008.2595736434114
AIR BAG (EACH),45.779675516224195,4735.12,4780.899675516224
TIMING GEAR,5.990000000000001,35.92,41.910000000000004
CLIMATE CONTROL (MANUAL),10.92220338983051,639.1700000000001,650.0922033898306
INTERIOR DOOR  HANDLE,4.195128205128206,1787.8066666666666,1792.0017948717948
ROLL BAR NO-LIGHTS,19.99,18.48,38.47
WINDOW MOTOR,11.580121317157712,7414.275833333334,7425.855954650492
BUMPER PUSH BAR,22.585744680851064,1242.8500000000001,1265.4357446808513
WASHER FLUID,1.0,38.455,39.455
FUEL FILTER,2.99,143.75457142857144,146.74457142857145
TRAILER HITCH RECEIVER,22.490000000000002,2504.875,2527.365
DRIVE SHAFT,18.753975155279505,3399.3483333333334,3418.102308488613
SPARE TIRE,10.131935483870967,1963.7033333333334,1973.8352688172045
ROCKER ARM,1.9899999999999998,163.47298076923076,165.46298076923077
BUMPER REINFORCEMENT,15.470577136514983,16546.629999999997,16562.100577136513
BRAKE EQUALI VALVE (CAR),5.990000000000001,73.445,79.43499999999999
AIR FILTER,4.764193548387096,1883.605,1888.369193548387
HEADLAMP SEALED BEAM,2.99,148.27566666666667,151.26566666666668
BRAKE DRUM,17.990000000000002,198.35500000000005,216.34500000000006
DRAG LINK,10.95279069767442,627.441,638.3937906976745
TIE ROD EACH,12.62157894736842,301.23,313.85157894736847
AIR FLOW METER,22.559312169312165,2242.7471666666665,2265.306478835979
INSTRUMENT LENS,1.99,188.65833333333333,190.64833333333334
BRAKE POWER/HYDRO BOOSTER,39.799523809523805,4171.8675,4211.667023809524
AC CONTROL (ELEC.),14.265477707006367,5474.503333333334,5488.768811040341
VENT GLASS,10.961428571428572,892.775,903.7364285714285
TIMING CHAIN,3.990000000000001,128.92,132.91
WASHER BOTTLE MOTOR ONLY,4.990000000000001,535.0075,539.9975000000001
MUFFLER (ANY),13.328144329896906,3184.8100000000004,3198.1381443298974
BUMPER FILLER,9.887627737226277,5864.325000000001,5874.212627737227
HEADERPANEL BARE,30.313809523809525,2482.7,2513.0138095238094
COMPLETE ENGINE,228.21580645161285,1283.7000000000003,1511.9158064516132
BEARING (ANY),3.9900000000000007,80.09999999999998,84.08999999999997
BELLHOUSING,17.99,88.94,106.92999999999999
ENGINE (NO ACCESSORIES),133.73999999999998,2445.25,2578.99
SHOCK,6.609937694704051,2988.1066666666666,2994.7166043613706
GATE FEE,1.9780487804878046,2120.0359166666667,2122.0139654471545
SENSOR ANY,10.764829931972788,1337.4275,1348.1923299319728
GAUGE SINGLE,4.989999999999999,197.33500000000004,202.32500000000005
DOOR GLASS,17.959171779141105,4933.160833333333,4951.120005112474
A/C SUITCASE HOUSING,12.989999999999998,2290.333333333333,2303.323333333333
SEAT BELT (EACH),5.96777777777778,1750.0129497863247,1755.9807275641026
LUGGAGE RACK,19.516315789473683,257.64,277.1563157894737
THERMOSTAT HOUSING,4.5900000000000025,625.175,629.765
HATCH NO GLASS,26.13130434782608,2597.5175,2623.648804347826
FRONT AXLE ASSEMBLY,79.99,432.2125,512.2025
SPARE TIRE CARRIER,11.72913043478261,1799.2225,1810.9516304347826
BRAKE ABS CONTROLLER,54.72076923076923,1872.8566666666666,1927.5774358974359
WATER PUMP,17.990000000000002,1831.5900000000001,1849.5800000000002
FAN SHROUD,8.210779220779221,5507.120000000001,5515.33077922078
HATCH COMPLETE,43.53090909090909,3213.8810000000003,3257.4119090909094
ENGINE BLOCK,108.6040350877193,1798.8200000000002,1907.4240350877194
CRANKSHAFT,35.41307692307692,481.62,517.0330769230769
ARM REST,5.821125827814571,1520.1533333333332,1525.9744591611477
YOKE,7.164626865671642,1814.9383333333333,1822.1029601990049
DOME LIGHT LIGHT,6.836590909090909,1754.6224166666666,1761.4590075757576
OIL PAN FERROUS,16.13285714285714,1245.0366666666666,1261.1695238095238
STEERING BOX ANY,29.93,558.75,588.68
DISTRIBUTOR,25.393669724770636,1340.3100000000002,1365.7036697247709
HORN BUTTON,4.990000000000001,116.055,121.045
PITMAN ARM,7.498064516129034,855.7916666666667,863.2897311827958
STEERING COLUMN,44.61432432432432,3428.25,3472.864324324324
STEERING WHEEL,14.875915492957747,6847.108797619048,6861.984713112006
SHIFTER LEVER ASSY ANY,15.395405405405405,397.885,413.2804054054054
STABILIZER LINK,5.015000000000001,485.14,490.155
DIESEL,228.49625,3228.5350000000003,3457.0312500000005
CARBURATOR,25.736153846153847,436.7800000000001,462.51615384615394
HEADLAMP COMPOSITE BULB,2.99,288.92,291.91
TRANS DUST COVER,5.99,78.27999999999999,84.26999999999998
GLASS HATCH,24.99,1977.4200000000003,2002.4100000000003
TRANSMISSION VALVE BODY,49.99,137.31,187.3
QUARTER PANEL,66.23719101123595,1592.74,1658.9771910112358
RUNNING BOARD,10.559587628865978,2584.2691666666665,2594.8287542955322
FOG LAMP,5.545970149253731,5126.686944444445,5132.232914593698
BRAKE DRUM (NO HUB),12.990000000000004,185.505,198.495
SEAT BELT TRACK,9.99,131.88500000000002,141.87500000000003
EGR VALVE (EACH),7.441515151515153,661.3383333333334,668.7798484848486
HOSE(.15 PER INCH),0.1790214067278287,2367.119157092481,2367.298178499209
IGNITOR,19.99,2.0,21.99
ANTENNA/MANUAL,3.0629166666666667,417.725,420.7879166666667
BRAKE MASTER CYLINDER,14.171386861313866,3588.84,3603.011386861314
BRAKE ROTOR,16.970753138075317,3707.7400000000002,3724.7107531380757
DOOR SKIN,33.39,119.44000000000001,152.83
BRACKET ANY,2.8451059730250483,5025.664065434725,5028.50917140775
FLYWHEEL,18.56142857142857,587.0100000000001,605.5714285714287
CAB ONLY BARE/SHELL,99.99,192.91,292.9
MIRROR INTERIOR MANUAL,4.5009756097560985,1806.1316666666667,1810.6326422764228
ANTENNA/POWER,14.49,54.8,69.28999999999999
HEADLAMP RING,1.49,4.99,6.48
FUEL TANK SENDING UNIT,5.989999999999999,261.625,267.615
DISTRIBUTOR W/COIL IGNITOE,36.92333333333333,689.7800000000001,726.7033333333334
BED LINER,34.645172413793105,572.3100000000001,606.9551724137932
OIL PUMP,12.407910447761193,1035.8149999999998,1048.222910447761
SLAVE CYLINDER,9.99,40.465,50.455000000000005
COIL W/ IGNITER,29.99,66.82000000000001,96.81
CABLE (ANY),5.690000000000001,541.5749999999999,547.265
CLUTCH FORK,4.990000000000001,38.855,43.845
HOOD HINGE,3.9757142857142864,399.9283333333333,403.90404761904756
FRAME SECTION( 9.99 PER FOOT),9.990000000000002,234.54000000000002,244.53000000000003
TRANMISSION COOLING LINE,14.90891891891892,666.49,681.398918918919
TORQUE CONVERTER,29.00818181818182,441.41,470.41818181818184
OIL COOLER,10.288461538461538,3640.494999999999,3650.7834615384604
CAMPER SHELL,59.989999999999995,55.9,115.88999999999999
MANIFOLD EXHAUST (NO SENSORS),20.87732394366197,900.6800000000001,921.557323943662
FLOOR MAT/SPARE TIRE COVER,1.9856626506024093,2945.586023809524,2947.5716864601263
WIPER MOTOR,10.415531914893617,1101.0849999999998,1111.5005319148934
REAR END PINION/ RING GEAR,88.74,112.27000000000001,201.01
MUFFLER PIPE,7.0381481481481485,2398.009666666667,2405.047814814815
TURN SIGNAL SWITCH,12.205189873417721,626.9216666666666,639.1268565400843
SENSOR (EMMISSIONS),8.99,20.513333333333332,29.50333333333333
STARTER SOLENOID,6.3900000000000015,345.3466666666667,351.7366666666667
WIPER BLADE,1.098188976377953,893.2985,894.396688976378
