Ranking,Vehicle Year-Model,Coefficient
4923.0,1985.0_CONTINENTAL,-69.93171592688199
4922.0,2002.0_PARK AVENUE,-69.66804056794794
4921.0,1993.0_TOWN & COUNTRY,-69.65727036269317
4920.0,2007.0_VUE,-69.5845911433042
4919.0,2005.0_XG350,-69.41101167341347
4918.0,2005.0_MALIBU,-69.3818574172705
4917.0,2005.0_YUKON XL,-69.25628246260156
4916.0,1999.0_C-CLASS,-69.23278912755266
4915.0,2002.0_SIERRA,-69.08040299617802
4914.0,1998.0_ES 300,-69.03629559875077
4913.0,2004.0_TOWN & COUNTRY,-68.61035597086641
4912.0,2001.0_GRAND PRIX,-68.50396058922962
4911.0,2001.0_I30,-68.48718852910915
4910.0,2012.0_PASSAT,-68.30398218592104
4909.0,1997.0_GRAND VOYAGER,-68.21027824493473
4908.0,2003.0_AVIATOR,-68.20625568517237
4907.0,2014.0_TOWN & COUNTRY,-68.02108720301744
4906.0,1996.0_PROBE,-67.99159650680718
4905.0,1988.0_CIVIC,-67.88575699385073
4904.0,1998.0_MOUNTAINEER,-67.75486937727919
4903.0,1987.0_COROLLA,-67.578176947167
4902.0,2009.0_GENESIS,-67.39686249107639
4901.0,2016.0_VERSA NOTE,-67.28720053168277
4900.0,2018.0_OPTIMA,-67.24083376358858
4899.0,2006.0_AERIO,-67.203187104374
4898.0,2003.0_GRAND CHEROKEE,-67.08684862012142
4897.0,2001.0_RAM VAN,-67.0240578367475
4896.0,2000.0_NEW BEETLE,-66.941494993831
4895.0,1999.0_WINDSTAR,-66.80630293423116
4894.0,2012.0_MUSTANG,-66.6282317239655
4893.0,2010.0_ESCAPE,-66.55318262131371
4892.0,2000.0_LHS,-66.22921454841403
4891.0,1992.0_STEALTH,-66.10019035213087
4890.0,2005.0_YUKON,-66.07548989212535
4889.0,1989.0_PICKUP,-66.03507914967533
4888.0,2005.0_CIVIC,-65.73789833288417
4887.0,1990.0_GRAND VOYAGER,-65.70741256342163
4886.0,2011.0_EDGE,-65.6538446791053
4885.0,2008.0_ASTRA,-65.54949886115246
4884.0,2014.0_200,-65.4239647329533
4883.0,2012.0_CAMARO,-65.33583755147913
4882.0,1995.0_CLUB WAGON,-65.32650369275882
4881.0,2012.0_TRAVERSE,-64.7205812444521
4880.0,2005.0_RAM PICKUP,-64.65305617650499
4879.0,1996.0_GRAND PRIX,-64.39231772276946
4878.0,2007.0_COMMANDER,-64.25847780830838
4877.0,2006.0_YUKON XL,-64.24564861885622
4876.0,2019.0_TUCSON,-63.96821794953015
4875.0,1987.0_SABLE,-63.84288761350299
4874.0,2004.0_MAZDA3,-63.791328447982444
4873.0,2015.0_EQUINOX,-63.582284474875316
4872.0,1997.0_5 SERIES,-63.49942172777804
4871.0,1999.0_F-250,-63.46127042861297
4870.0,2014.0_ODYSSEY,-63.22851502191078
4869.0,2004.0_G35,-63.217068143877
4868.0,2013.0_PASSAT,-63.11716654024578
4867.0,2002.0_PASSPORT,-62.814400793843376
4866.0,2000.0_GRAND MARQUIS,-62.7878900771524
4865.0,2007.0_EQUINOX,-62.78599419363101
4864.0,2007.0_PILOT,-62.722915369916244
4863.0,1979.0_COUPE DEVILLE,-62.68998238074253
4862.0,1995.0_LEBARON,-62.66191581102281
4861.0,2002.0_EXPEDITION,-62.552319873424295
4860.0,1998.0_INTEGRA,-62.449421658585806
4859.0,2012.0_HIGHLANDER,-62.362928731124725
4858.0,1999.0_FRONTIER,-62.34897342765904
4857.0,2001.0_SUNFIRE,-62.34846450851691
4856.0,2011.0_E-CLASS,-62.33331650661631
4855.0,2006.0_300,-62.24660761934046
4854.0,2004.0_LESABRE,-62.204727521159924
