Vehicle Year-Model,Coefficient,Ranking
1987.0_420,-2.522184244774321,4896.0
2006.0_CLK-CLASS,-2.5114087246112446,4895.0
2014.0_SENTRA,-2.5079017582422183,4894.0
2004.0_NEON,-2.504420366026457,4893.0
2002.0_VILLAGER,-2.499829702692242,4892.0
2003.0_CLK-CLASS,-2.4884686524292268,4891.0
1999.0_SONOMA,-2.4846096260170087,4890.0
1994.0_LEBARON,-2.484511248971384,4889.0
2004.0_CROSSFIRE,-2.4716436445338825,4888.0
2013.0_300,-2.468184355562251,4887.0
2002.0_VOYAGER,-2.4549777171630836,4886.0
2009.0_GTI,-2.453746803843517,4885.0
2008.0_OUTBACK,-2.4511848203521427,4884.0
1995.0_SIDEKICK,-2.434593556554237,4883.0
1987.0_RAM,-2.4343371235283517,4882.0
2011.0_MILAN,-2.4315595557889784,4881.0
1990.0_VAN,-2.421701884318469,4880.0
2010.0_FORTE KOUP,-2.4148985591254615,4879.0
1995.0_TRUCK,-2.4062353265747083,4878.0
1997.0_ACCENT,-2.404346291865822,4877.0
2008.0_CHARGER,-2.4011206259981495,4876.0
1994.0_CENTURY,-2.390819764614043,4875.0
2000.0_TL,-2.3889873804349473,4874.0
2011.0_LEAF,-2.377197508821398,4873.0
1996.0_CORSICA,-2.3726466655527925,4872.0
2006.0_GRAND PRIX,-2.3682876445446586,4871.0
2008.0_SEDONA,-2.3619663906032313,4870.0
2007.0_V70,-2.356373551292633,4869.0
2006.0_GRAND CHEROKEE,-2.3404988194690786,4868.0
1994.0_CLUB WAGON,-2.3353867435174114,4867.0
2010.0_TOWN CAR,-2.325952288845811,4866.0
1995.0_SEBRING,-2.32032823266396,4865.0
2012.0_COOPER,-2.317315204352798,4864.0
2015.0_ROGUE SELECT,-2.3073794350526953,4863.0
2003.0_LS 430,-2.307159772112102,4862.0
1987.0_DEVILLE,-2.3050982519190697,4861.0
1986.0_CARAVELLE,-2.3048929747053855,4860.0
2006.0_FX35,-2.3037314945646874,4859.0
